sp,chr,loc,score,msp,mchr,mloc
gorilla,5,124000000,1797,chimp,5,137000000,same orientation
chimp,1,106000000,2330,gorilla,1,111000000,inversed
chimp,1,106000000,2066,human,1,107000000,inversed
gorilla,11,100000000,358,chimp,11,120000000,same orientation
gorilla,11,100000000,333,human,11,104000000,same orientation
human,1,31000000,1659,gorilla,1,41000000,inversed
chimp,14,0,1318,gorilla,14,0,inversed
chimp,14,0,757,chimp,2B,131000000,inversed
chimp,14,0,542,gorilla,2B,18000000,inversed
chimp,14,0,462,human,22,0,inversed
chimp,14,0,434,human,2,141000000,inversed
chimp,14,0,350,human,9,40000000,inversed
chimp,14,0,344,chimp,20,28000000,inversed
chimp,14,0,324,chimp,2B,18000000,inversed
chimp,21,14000000,2250,human,21,14000000,same orientation
chimp,21,14000000,1825,gorilla,21,15000000,same orientation
human,6,131000000,2308,gorilla,6,130000000,inversed
human,6,131000000,1926,chimp,6,130000000,inversed
human,6,131000000,399,chimp,6,131000000,inversed
human,6,3000000,2074,gorilla,6,0,inversed
chimp,12,111000000,2210,human,12,75000000,same orientation
chimp,X,164000000,2251,gorilla,X,145000000,inversed
human,5,168000000,2380,chimp,5,156000000,same orientation
chimp,12,71000000,1632,human,12,99000000,same orientation
chimp,12,71000000,368,gorilla,12,81000000,same orientation
human,1,99000000,1349,gorilla,1,88000000,inversed
human,1,99000000,446,gorilla,1,89000000,inversed
gorilla,6,19000000,1417,human,6,18000000,same orientation
chimp,10,107000000,2029,gorilla,10,117000000,inversed
chimp,5,156000000,2351,gorilla,5,142000000,inversed
gorilla,14,18000000,2351,chimp,14,17000000,same orientation
gorilla,14,18000000,2249,human,14,17000000,same orientation
gorilla,12,81000000,2308,human,12,100000000,inversed
gorilla,12,81000000,2282,chimp,12,71000000,inversed
chimp,8,115000000,2128,gorilla,8,111000000,inversed
chimp,8,115000000,1891,human,8,108000000,inversed
chimp,8,115000000,353,human,8,107000000,inversed
human,1,52000000,2132,gorilla,1,82000000,inversed
human,8,50000000,2211,chimp,8,51000000,same orientation
human,8,50000000,1821,gorilla,8,51000000,same orientation
chimp,X,82000000,2042,human,X,78000000,same orientation
chimp,X,82000000,2017,gorilla,X,82000000,same orientation
chimp,1,165000000,2296,gorilla,1,148000000,inversed
chimp,11,78000000,2440,human,11,74000000,inversed
chimp,11,78000000,507,gorilla,11,78000000,inversed
gorilla,3,108000000,2180,human,3,107000000,inversed
gorilla,4,82000000,2162,human,4,70000000,same orientation
human,1,167000000,1269,chimp,1,154000000,same orientation
human,1,167000000,1061,chimp,1,155000000,same orientation
chimp,6,137000000,2410,gorilla,6,136000000,same orientation
human,9,11000000,2046,gorilla,9,25000000,inversed
human,13,22000000,1961,chimp,13,22000000,inversed
human,13,22000000,1569,gorilla,13,22000000,inversed
human,13,22000000,1081,chimp,13,98000000,inversed
human,13,22000000,252,gorilla,13,1000000,inversed
human,X,79000000,2555,chimp,X,82000000,same orientation
human,X,79000000,2092,gorilla,X,83000000,same orientation
gorilla,15,2000000,1747,human,15,1000000,inversed
gorilla,15,2000000,456,chimp,15,80000000,inversed
gorilla,15,2000000,295,human,15,6000000,inversed
human,16,6000000,2167,chimp,16,6000000,same orientation
human,16,6000000,1698,gorilla,16,6000000,same orientation
gorilla,2A,77000000,1521,chimp,2A,77000000,same orientation
gorilla,2A,77000000,1515,human,2,75000000,same orientation
human,2,102000000,2314,chimp,2A,102000000,inversed
human,2,102000000,951,chimp,2A,109000000,inversed
gorilla,12,29000000,736,chimp,12,64000000,inversed
chimp,5,135000000,2156,human,5,88000000,inversed
chimp,5,135000000,276,gorilla,5,121000000,inversed
gorilla,20,14000000,1947,chimp,20,12000000,inversed
gorilla,7,158000000,1762,human,7,148000000,inversed
gorilla,7,158000000,1673,chimp,7,198000000,inversed
gorilla,18,32000000,2584,chimp,18,28000000,same orientation
human,Y,18000000,1783,chimp,Y,4000000,same orientation
human,Y,18000000,1752,chimp,Y,12000000,same orientation
human,Y,18000000,586,chimp,Y,25000000,same orientation
gorilla,10,66000000,1905,chimp,10,51000000,same orientation
gorilla,10,66000000,1844,human,10,49000000,same orientation
gorilla,X,0,299,chimp,X,0,inversed
chimp,X,107000000,2132,gorilla,X,91000000,inversed
human,6,152000000,2312,chimp,6,109000000,inversed
human,6,152000000,2043,gorilla,6,109000000,inversed
gorilla,7,84000000,2523,human,7,90000000,inversed
human,1,65000000,2032,chimp,1,62000000,same orientation
human,1,0,1712,chimp,7,159000000,inversed
human,1,0,1699,chimp,8,0,inversed
human,1,0,1604,human,8,0,inversed
human,1,0,590,gorilla,8,0,inversed
gorilla,X,81000000,2162,chimp,X,80000000,same orientation
gorilla,X,81000000,2156,human,X,76000000,same orientation
human,9,31000000,2043,chimp,9,27000000,same orientation
chimp,18,42000000,2327,human,18,73000000,inversed
chimp,18,42000000,2105,gorilla,18,77000000,inversed
gorilla,6,55000000,1728,human,6,43000000,inversed
gorilla,6,55000000,431,chimp,6,54000000,inversed
human,X,10000000,2658,chimp,X,46000000,inversed
human,1,52000000,2138,chimp,1,49000000,same orientation
human,19,28000000,1777,gorilla,19,28000000,same orientation
chimp,14,57000000,2445,human,14,69000000,inversed
gorilla,3,5000000,1779,human,3,5000000,inversed
gorilla,6,120000000,1852,human,6,141000000,inversed
gorilla,6,120000000,563,chimp,6,120000000,inversed
human,1,150000000,2263,chimp,1,137000000,same orientation
human,22,19000000,1646,gorilla,22,19000000,same orientation
chimp,6,100000000,1628,gorilla,6,99000000,same orientation
chimp,1,190000000,2247,gorilla,1,194000000,same orientation
gorilla,2A,40000000,2101,human,2,39000000,same orientation
gorilla,7,1000000,1830,human,7,1000000,same orientation
gorilla,7,1000000,315,chimp,7,212000000,same orientation
gorilla,X,150000000,1286,human,X,140000000,same orientation
gorilla,X,150000000,870,chimp,X,176000000,same orientation
gorilla,X,150000000,868,chimp,X,147000000,same orientation
human,18,49000000,1877,gorilla,18,52000000,same orientation
human,8,67000000,2446,chimp,8,68000000,same orientation
human,8,67000000,1564,gorilla,8,68000000,same orientation
human,8,67000000,599,gorilla,8,69000000,same orientation
chimp,3,45000000,2886,human,3,32000000,inversed
human,7,126000000,2004,chimp,7,132000000,same orientation
human,7,126000000,1621,gorilla,7,130000000,same orientation
chimp,13,45000000,2118,human,13,35000000,same orientation
gorilla,3,14000000,1098,human,3,62000000,inversed
gorilla,3,14000000,1038,human,3,63000000,inversed
gorilla,4,197000000,1938,human,4,182000000,same orientation
gorilla,4,197000000,1878,chimp,4,187000000,same orientation
chimp,9,111000000,345,human,9,109000000,same orientation
gorilla,3,107000000,2324,chimp,3,107000000,same orientation
gorilla,7,42000000,2281,chimp,7,41000000,inversed
chimp,19,55000000,2200,gorilla,19,53000000,inversed
gorilla,1,220000000,2065,chimp,1,215000000,same orientation
gorilla,1,220000000,2055,human,1,210000000,same orientation
chimp,11,16000000,2028,gorilla,11,38000000,inversed
gorilla,3,166000000,1987,human,3,155000000,inversed
chimp,3,50000000,1762,gorilla,3,50000000,same orientation
chimp,15,40000000,2142,human,15,32000000,inversed
human,8,137000000,1896,gorilla,8,140000000,same orientation
human,10,127000000,2139,chimp,10,123000000,inversed
gorilla,3,53000000,2273,chimp,3,52000000,same orientation
chimp,X,169000000,1777,gorilla,X,73000000,inversed
chimp,12,24000000,2402,human,12,37000000,same orientation
chimp,12,24000000,1911,gorilla,12,37000000,same orientation
chimp,9,4000000,2389,human,9,7000000,same orientation
chimp,2B,54000000,2261,human,2,159000000,same orientation
chimp,2B,54000000,1909,gorilla,2B,54000000,same orientation
human,1,94000000,1537,gorilla,1,94000000,inversed
human,1,94000000,717,gorilla,1,93000000,inversed
chimp,3,83000000,2060,human,3,78000000,inversed
chimp,3,83000000,1989,gorilla,3,80000000,inversed
human,4,13000000,275,gorilla,4,13000000,inversed
chimp,2B,63000000,2079,human,2,168000000,same orientation
chimp,2B,63000000,1892,gorilla,2B,63000000,same orientation
chimp,7,19000000,1887,gorilla,7,20000000,same orientation
chimp,7,19000000,1867,human,7,19000000,same orientation
chimp,14,39000000,362,gorilla,14,38000000,inversed
human,7,144000000,1460,chimp,7,200000000,inversed
human,7,144000000,1337,gorilla,7,151000000,inversed
human,7,144000000,1028,chimp,7,152000000,inversed
gorilla,3,64000000,2291,chimp,3,63000000,same orientation
human,12,35000000,1457,chimp,3,92000000,inversed
human,12,35000000,1332,human,3,90000000,inversed
human,12,35000000,1295,gorilla,6,60000000,inversed
human,12,35000000,1263,chimp,19,19000000,inversed
human,12,35000000,1188,chimp,5,64000000,inversed
human,12,35000000,1116,gorilla,3,92000000,inversed
human,12,35000000,1064,chimp,20,27000000,inversed
human,12,35000000,1063,human,16,30000000,inversed
human,12,35000000,1050,chimp,6,58000000,inversed
human,12,35000000,1018,human,5,46000000,inversed
human,16,63000000,1925,gorilla,16,74000000,inversed
chimp,21,7000000,2321,human,21,7000000,same orientation
chimp,21,7000000,2135,gorilla,21,8000000,same orientation
chimp,3,67000000,1726,gorilla,3,67000000,same orientation
human,6,83000000,2326,chimp,6,85000000,same orientation
human,6,83000000,2012,gorilla,6,85000000,same orientation
human,8,100000000,2035,gorilla,8,103000000,same orientation
gorilla,21,4000000,1985,chimp,21,2000000,same orientation
gorilla,21,4000000,1969,human,21,2000000,same orientation
gorilla,17,80000000,2228,human,5,14000000,same orientation
chimp,13,72000000,1982,gorilla,13,72000000,same orientation
gorilla,4,1000000,2101,chimp,4,1000000,inversed
gorilla,4,1000000,469,chimp,4,194000000,inversed
gorilla,4,1000000,467,chimp,4,193000000,inversed
human,3,114000000,2822,chimp,3,102000000,inversed
human,3,114000000,2524,gorilla,3,101000000,inversed
gorilla,3,130000000,871,chimp,3,130000000,same orientation
gorilla,3,130000000,786,chimp,3,199000000,same orientation
gorilla,3,130000000,730,human,3,75000000,same orientation
gorilla,3,130000000,647,chimp,3,76000000,same orientation
gorilla,3,130000000,567,chimp,7,5000000,same orientation
gorilla,3,130000000,477,human,7,6000000,same orientation
gorilla,3,130000000,327,gorilla,7,6000000,same orientation
gorilla,3,130000000,267,human,4,3000000,same orientation
chimp,6,78000000,1670,human,6,76000000,same orientation
chimp,6,78000000,1513,gorilla,6,78000000,same orientation
gorilla,1,217000000,1864,human,1,207000000,same orientation
gorilla,1,217000000,1772,chimp,1,212000000,same orientation
chimp,2A,99000000,2200,gorilla,2A,100000000,same orientation
gorilla,6,58000000,1762,human,6,40000000,inversed
human,11,6000000,1849,gorilla,11,6000000,same orientation
human,12,56000000,2164,gorilla,12,73000000,inversed
human,9,53000000,1996,chimp,9,54000000,same orientation
human,9,53000000,1904,gorilla,9,62000000,same orientation
gorilla,18,0,1051,human,9,110000000,inversed
gorilla,18,0,795,human,10,5000000,inversed
gorilla,18,0,358,chimp,20,65000000,inversed
gorilla,18,0,353,chimp,18,0,inversed
gorilla,18,0,299,chimp,20,27000000,inversed
gorilla,18,0,289,human,3,75000000,inversed
gorilla,18,0,274,gorilla,3,77000000,inversed
gorilla,18,0,269,chimp,18,14000000,inversed
gorilla,18,0,266,chimp,20,29000000,inversed
human,11,29000000,2372,chimp,11,23000000,same orientation
chimp,7,5000000,834,gorilla,7,6000000,inversed
chimp,7,5000000,503,human,7,5000000,inversed
chimp,7,5000000,345,human,7,6000000,inversed
gorilla,18,50000000,2234,human,18,46000000,same orientation
gorilla,3,8000000,2100,human,3,2000000,inversed
human,14,36000000,1985,chimp,14,36000000,same orientation
human,14,36000000,1327,gorilla,14,36000000,same orientation
human,4,18000000,2153,gorilla,4,18000000,same orientation
human,4,18000000,1299,chimp,4,19000000,same orientation
human,4,18000000,1106,chimp,4,18000000,same orientation
chimp,11,111000000,2418,gorilla,11,109000000,inversed
human,4,70000000,2288,chimp,4,57000000,inversed
gorilla,19,31000000,1864,human,19,30000000,same orientation
chimp,6,155000000,2246,human,6,107000000,same orientation
chimp,2B,20000000,2818,human,2,139000000,inversed
human,3,177000000,2279,chimp,3,144000000,inversed
human,3,177000000,1775,gorilla,3,144000000,inversed
human,15,57000000,1550,gorilla,15,59000000,same orientation
human,1,105000000,2409,chimp,1,109000000,same orientation
human,5,79000000,2640,chimp,5,31000000,same orientation
human,5,79000000,2354,gorilla,5,67000000,same orientation
gorilla,2A,15000000,2253,human,2,14000000,same orientation
gorilla,11,65000000,1552,chimp,11,64000000,same orientation
gorilla,X,105000000,2029,human,X,96000000,same orientation
chimp,10,88000000,2185,human,10,95000000,same orientation
human,8,1000000,1923,gorilla,8,1000000,same orientation
human,10,48000000,2296,chimp,10,50000000,same orientation
human,10,48000000,2128,gorilla,10,64000000,same orientation
human,8,32000000,2181,chimp,8,24000000,same orientation
chimp,3,48000000,2317,human,3,29000000,inversed
gorilla,X,132000000,1985,chimp,X,131000000,same orientation
gorilla,X,132000000,1684,human,X,123000000,same orientation
chimp,7,184000000,1999,human,7,23000000,same orientation
chimp,7,184000000,1700,gorilla,7,24000000,same orientation
chimp,15,23000000,2333,human,15,49000000,inversed
chimp,8,118000000,2540,human,8,105000000,inversed
chimp,8,118000000,2296,gorilla,8,108000000,inversed
gorilla,3,105000000,2366,human,3,110000000,inversed
chimp,7,211000000,2067,human,7,93000000,inversed
chimp,1,168000000,2335,gorilla,1,145000000,inversed
chimp,11,75000000,2012,human,11,77000000,inversed
chimp,11,75000000,641,chimp,7,62000000,inversed
chimp,11,75000000,614,gorilla,7,62000000,inversed
chimp,11,75000000,595,chimp,7,61000000,inversed
chimp,19,36000000,1613,human,19,36000000,inversed
chimp,19,36000000,1451,gorilla,19,36000000,inversed
chimp,6,162000000,2206,human,6,160000000,same orientation
chimp,X,2000000,2034,chimp,Y,25000000,same orientation
human,15,60000000,2077,gorilla,15,63000000,same orientation
gorilla,3,77000000,575,human,3,10000000,inversed
gorilla,3,77000000,467,human,3,75000000,inversed
gorilla,3,77000000,438,chimp,3,76000000,inversed
gorilla,2A,22000000,2166,human,2,21000000,same orientation
gorilla,11,52000000,1499,chimp,11,51000000,same orientation
gorilla,11,52000000,1318,human,11,51000000,same orientation
gorilla,11,52000000,259,chimp,11,52000000,same orientation
gorilla,20,19000000,1457,chimp,20,7000000,inversed
gorilla,7,155000000,2074,human,7,151000000,inversed
gorilla,18,67000000,2187,human,18,63000000,same orientation
chimp,6,67000000,2275,human,6,61000000,inversed
chimp,5,138000000,2775,human,5,148000000,inversed
gorilla,7,108000000,1821,chimp,7,110000000,same orientation
gorilla,16,72000000,1936,human,16,65000000,inversed
human,1,30000000,2473,chimp,1,45000000,same orientation
gorilla,7,89000000,2325,human,7,85000000,inversed
chimp,2A,102000000,2030,human,2,92000000,inversed
human,13,87000000,2291,gorilla,13,75000000,inversed
human,13,87000000,2157,chimp,13,74000000,inversed
human,9,64000000,1669,gorilla,9,73000000,same orientation
chimp,6,173000000,2221,gorilla,6,42000000,same orientation
gorilla,19,17000000,1228,chimp,19,17000000,same orientation
gorilla,19,17000000,1226,chimp,19,60000000,same orientation
gorilla,19,17000000,1215,human,19,16000000,same orientation
chimp,10,31000000,2314,gorilla,10,30000000,inversed
gorilla,6,110000000,2029,human,6,151000000,inversed
gorilla,20,1000000,2065,human,20,0,same orientation
gorilla,2B,117000000,2074,human,2,221000000,inversed
human,1,123000000,2201,chimp,1,126000000,same orientation
human,1,123000000,1959,gorilla,1,130000000,same orientation
human,15,71000000,2457,chimp,15,65000000,same orientation
gorilla,2A,33000000,2180,human,2,32000000,same orientation
chimp,14,67000000,2361,human,14,59000000,inversed
chimp,7,195000000,1178,human,7,5000000,same orientation
chimp,7,195000000,778,gorilla,7,5000000,same orientation
gorilla,X,123000000,2274,chimp,X,122000000,same orientation
gorilla,X,123000000,2122,human,X,114000000,same orientation
human,20,56000000,2210,chimp,20,57000000,inversed
human,20,56000000,1808,gorilla,20,57000000,inversed
human,X,20000000,2558,chimp,X,36000000,inversed
gorilla,6,65000000,2127,human,6,63000000,inversed
gorilla,6,65000000,559,chimp,6,174000000,inversed
chimp,18,72000000,2293,human,18,43000000,inversed
chimp,18,72000000,903,gorilla,18,46000000,inversed
chimp,18,72000000,876,gorilla,18,47000000,inversed
human,8,14000000,2129,chimp,8,41000000,same orientation
human,11,101000000,2319,gorilla,11,103000000,inversed
human,1,21000000,2184,chimp,1,21000000,same orientation
human,1,21000000,1889,gorilla,1,23000000,same orientation
chimp,10,99000000,2465,gorilla,10,125000000,inversed
gorilla,17,36000000,2091,chimp,5,53000000,inversed
gorilla,22,26000000,1616,human,22,25000000,same orientation
chimp,3,75000000,328,gorilla,3,75000000,inversed
human,9,75000000,1932,chimp,9,76000000,same orientation
gorilla,18,76000000,1909,human,18,71000000,same orientation
human,14,10000000,2244,gorilla,14,10000000,same orientation
human,14,10000000,2174,chimp,14,10000000,same orientation
human,22,9000000,2385,chimp,22,25000000,inversed
human,22,9000000,440,gorilla,22,9000000,inversed
chimp,20,2000000,1824,human,20,25000000,same orientation
human,X,2000000,2206,chimp,X,4000000,same orientation
human,X,2000000,1703,gorilla,X,3000000,same orientation
gorilla,7,119000000,2642,chimp,7,121000000,same orientation
gorilla,10,22000000,1397,gorilla,5,129000000,same orientation
gorilla,10,22000000,1375,chimp,10,134000000,same orientation
gorilla,10,22000000,696,gorilla,4,4000000,same orientation
gorilla,10,22000000,547,gorilla,8,112000000,same orientation
gorilla,10,22000000,352,gorilla,19,10000000,same orientation
gorilla,10,22000000,343,gorilla,2B,113000000,same orientation
human,X,88000000,2224,gorilla,X,92000000,inversed
gorilla,18,41000000,2148,chimp,18,37000000,same orientation
human,2,132000000,2207,chimp,2B,27000000,inversed
human,2,132000000,2028,gorilla,2B,28000000,inversed
human,9,21000000,1762,gorilla,9,15000000,inversed
human,14,27000000,2233,gorilla,14,27000000,same orientation
human,14,27000000,2192,chimp,14,27000000,same orientation
human,13,12000000,2204,chimp,13,8000000,inversed
human,13,12000000,1342,gorilla,13,8000000,inversed
human,13,12000000,619,gorilla,13,9000000,inversed
human,14,8000000,2353,gorilla,14,8000000,same orientation
human,14,8000000,2275,chimp,14,8000000,same orientation
human,17,44000000,2765,chimp,17,49000000,inversed
gorilla,3,138000000,2123,human,3,182000000,inversed
human,1,16000000,1529,chimp,1,16000000,same orientation
human,1,16000000,837,gorilla,1,17000000,same orientation
chimp,2A,88000000,2122,human,2,86000000,same orientation
chimp,2A,88000000,1955,gorilla,2A,87000000,same orientation
human,5,34000000,2591,chimp,5,77000000,inversed
chimp,1,155000000,2007,gorilla,1,158000000,inversed
gorilla,22,11000000,2008,human,22,10000000,same orientation
chimp,11,48000000,2314,human,11,5000000,inversed
chimp,11,48000000,2223,gorilla,11,5000000,inversed
chimp,8,1000000,308,human,8,1000000,same orientation
gorilla,5,90000000,2302,chimp,5,103000000,same orientation
human,9,3000000,1947,gorilla,9,33000000,inversed
human,1,62000000,2497,gorilla,1,72000000,inversed
human,9,42000000,2201,chimp,9,43000000,same orientation
human,9,42000000,2053,gorilla,9,51000000,same orientation
human,11,38000000,2640,chimp,11,32000000,same orientation
chimp,8,125000000,2419,human,8,98000000,inversed
chimp,8,125000000,1956,gorilla,8,101000000,inversed
gorilla,X,114000000,2123,chimp,X,113000000,same orientation
gorilla,12,104000000,2414,chimp,12,113000000,inversed
gorilla,12,104000000,2366,human,12,77000000,inversed
human,9,89000000,2263,gorilla,9,79000000,inversed
chimp,10,99000000,2433,human,10,105000000,same orientation
human,6,162000000,2254,gorilla,6,163000000,inversed
chimp,5,93000000,2496,human,5,129000000,same orientation
human,10,59000000,1880,chimp,10,61000000,same orientation
human,10,59000000,1616,gorilla,10,75000000,same orientation
human,8,23000000,1946,gorilla,8,24000000,same orientation
chimp,6,144000000,2094,gorilla,6,143000000,same orientation
gorilla,19,20000000,1846,human,19,19000000,same orientation
gorilla,3,190000000,1460,human,3,132000000,inversed
gorilla,3,190000000,605,chimp,3,189000000,inversed
human,1,114000000,2171,chimp,1,114000000,same orientation
human,1,114000000,1916,gorilla,1,118000000,same orientation
gorilla,20,24000000,1662,chimp,20,2000000,inversed
human,5,68000000,1837,chimp,5,20000000,same orientation
human,5,68000000,1834,gorilla,17,23000000,same orientation
gorilla,11,74000000,1903,chimp,11,74000000,same orientation
gorilla,12,19000000,1976,chimp,12,12000000,inversed
chimp,5,105000000,1994,human,5,117000000,inversed
chimp,8,146000000,1437,gorilla,8,144000000,inversed
gorilla,3,75000000,1916,chimp,3,74000000,same orientation
gorilla,3,75000000,1857,human,3,73000000,same orientation
chimp,1,136000000,1811,human,1,126000000,inversed
gorilla,1,4000000,1755,chimp,1,3000000,same orientation
gorilla,1,4000000,500,human,1,3000000,same orientation
human,5,57000000,2608,chimp,5,53000000,inversed
human,17,27000000,2586,chimp,17,24000000,inversed
chimp,2B,72000000,2393,human,2,177000000,same orientation
chimp,2B,72000000,2031,gorilla,2B,72000000,same orientation
human,13,71000000,2214,chimp,13,90000000,inversed
human,13,71000000,1990,gorilla,13,91000000,inversed
gorilla,3,29000000,2383,human,3,48000000,inversed
human,2,151000000,330,chimp,2B,45000000,inversed
chimp,13,63000000,2451,human,13,61000000,same orientation
chimp,13,63000000,2419,gorilla,13,63000000,same orientation
chimp,5,166000000,2401,gorilla,5,132000000,inversed
gorilla,17,91000000,1980,human,5,3000000,same orientation
chimp,11,83000000,2347,human,11,69000000,inversed
gorilla,3,121000000,2052,chimp,3,121000000,same orientation
gorilla,1,206000000,1906,chimp,1,201000000,same orientation
chimp,6,69000000,1521,gorilla,6,69000000,same orientation
chimp,X,154000000,1864,gorilla,X,29000000,inversed
chimp,X,154000000,1856,human,X,27000000,inversed
human,6,101000000,2573,chimp,6,98000000,inversed
human,6,101000000,2449,gorilla,6,97000000,inversed
chimp,3,76000000,2195,human,3,74000000,same orientation
chimp,3,76000000,2123,gorilla,3,76000000,same orientation
chimp,Y,7000000,668,chimp,5,64000000,same orientation
chimp,Y,7000000,644,gorilla,X,59000000,same orientation
chimp,Y,7000000,605,chimp,21,35000000,same orientation
chimp,Y,7000000,599,chimp,20,27000000,same orientation
chimp,Y,7000000,582,chimp,7,59000000,same orientation
chimp,Y,7000000,577,human,19,24000000,same orientation
chimp,Y,7000000,573,gorilla,16,34000000,same orientation
chimp,Y,7000000,555,gorilla,7,59000000,same orientation
chimp,Y,7000000,552,chimp,20,26000000,same orientation
human,6,92000000,2482,chimp,6,94000000,same orientation
human,6,92000000,2019,gorilla,6,94000000,same orientation
gorilla,3,81000000,2268,chimp,3,82000000,inversed
human,8,111000000,2379,gorilla,8,114000000,same orientation
chimp,18,11000000,2200,human,18,3000000,inversed
chimp,18,11000000,1347,gorilla,18,3000000,inversed
chimp,18,11000000,906,gorilla,18,4000000,inversed
human,X,43000000,2697,chimp,X,13000000,inversed
human,3,181000000,2133,chimp,3,140000000,inversed
human,3,181000000,1976,gorilla,3,139000000,inversed
chimp,12,4000000,2175,human,12,1000000,inversed
chimp,3,41000000,2180,gorilla,3,41000000,same orientation
human,8,126000000,2455,gorilla,8,129000000,same orientation
chimp,13,54000000,2619,human,13,53000000,same orientation
chimp,13,54000000,2327,gorilla,13,54000000,same orientation
chimp,9,100000000,1990,human,9,97000000,same orientation
chimp,9,100000000,1436,gorilla,9,108000000,same orientation
gorilla,4,186000000,1934,human,4,172000000,same orientation
gorilla,4,186000000,1697,chimp,4,176000000,same orientation
gorilla,3,116000000,2310,chimp,3,116000000,same orientation
human,13,94000000,2234,chimp,13,95000000,same orientation
human,13,94000000,1750,gorilla,13,96000000,same orientation
human,9,4000000,1931,chimp,9,39000000,same orientation
human,3,129000000,2390,chimp,3,193000000,inversed
human,3,129000000,2198,gorilla,3,193000000,inversed
chimp,12,35000000,1633,human,12,47000000,same orientation
chimp,12,35000000,1630,gorilla,12,48000000,same orientation
chimp,8,8000000,2019,human,8,10000000,inversed
chimp,2B,45000000,2460,human,2,150000000,same orientation
chimp,2B,45000000,2287,gorilla,2B,45000000,same orientation
human,8,93000000,2486,chimp,8,130000000,inversed
chimp,7,40000000,2135,human,7,42000000,inversed
chimp,7,40000000,1905,gorilla,7,43000000,inversed
gorilla,3,42000000,2109,chimp,3,41000000,same orientation
human,4,86000000,2272,chimp,4,103000000,inversed
chimp,20,31000000,1600,gorilla,20,29000000,same orientation
chimp,3,16000000,1874,human,3,60000000,inversed
chimp,3,16000000,476,human,3,61000000,inversed
gorilla,17,55000000,2320,chimp,5,72000000,inversed
gorilla,18,14000000,2162,human,18,13000000,same orientation
gorilla,3,47000000,2491,human,3,30000000,inversed
human,17,49000000,2389,chimp,17,44000000,inversed
chimp,1,158000000,2070,gorilla,1,155000000,inversed
chimp,11,45000000,2261,gorilla,11,8000000,inversed
gorilla,3,135000000,2440,human,3,185000000,inversed
human,1,43000000,2132,chimp,1,81000000,same orientation
human,19,39000000,1951,gorilla,19,39000000,same orientation
human,5,39000000,2447,chimp,5,72000000,inversed
human,9,17000000,1988,chimp,9,13000000,same orientation
chimp,8,128000000,2729,human,8,95000000,inversed
chimp,8,128000000,2299,gorilla,8,98000000,inversed
chimp,15,13000000,1764,gorilla,15,22000000,inversed
chimp,15,13000000,1322,human,15,20000000,inversed
human,9,84000000,1764,gorilla,9,84000000,inversed
gorilla,12,109000000,2082,chimp,12,108000000,inversed
human,18,58000000,1725,gorilla,18,61000000,same orientation
human,18,58000000,687,chimp,18,75000000,same orientation
gorilla,X,141000000,2146,human,X,131000000,same orientation
human,7,137000000,2209,chimp,7,143000000,same orientation
human,7,137000000,2117,gorilla,7,141000000,same orientation
gorilla,16,42000000,2158,chimp,16,35000000,inversed
human,15,13000000,2403,chimp,15,16000000,same orientation
human,5,91000000,2465,chimp,5,132000000,inversed
human,5,91000000,2348,gorilla,5,118000000,inversed
chimp,6,111000000,2240,gorilla,6,110000000,same orientation
chimp,1,181000000,1484,gorilla,1,185000000,same orientation
chimp,5,108000000,2684,human,5,114000000,inversed
gorilla,12,14000000,2460,chimp,12,17000000,inversed
gorilla,20,29000000,1692,human,20,31000000,inversed
gorilla,2A,51000000,2595,human,2,50000000,same orientation
chimp,6,57000000,2512,human,6,40000000,inversed
human,1,176000000,2491,chimp,1,164000000,same orientation
gorilla,17,93000000,2071,human,5,0,inversed
gorilla,17,93000000,340,chimp,5,1000000,inversed
chimp,11,121000000,1924,gorilla,11,99000000,inversed
chimp,6,126000000,2453,gorilla,6,125000000,same orientation
gorilla,19,42000000,1698,human,19,41000000,same orientation
human,X,68000000,1767,chimp,X,70000000,same orientation
chimp,7,86000000,2949,human,7,90000000,inversed
gorilla,2A,66000000,1946,human,2,64000000,same orientation
gorilla,2A,66000000,1939,chimp,2A,66000000,same orientation
human,7,117000000,2648,chimp,7,111000000,inversed
human,7,117000000,2137,gorilla,7,109000000,inversed
gorilla,2A,41000000,2303,chimp,2A,33000000,inversed
human,12,66000000,2409,chimp,12,49000000,inversed
human,12,66000000,1671,gorilla,12,63000000,inversed
human,12,66000000,387,gorilla,12,62000000,inversed
gorilla,6,68000000,2608,human,6,67000000,inversed
human,8,41000000,1672,gorilla,8,42000000,same orientation
gorilla,4,93000000,2083,human,4,80000000,same orientation
human,13,8000000,2319,chimp,13,8000000,same orientation
human,13,8000000,1954,gorilla,13,8000000,same orientation
human,16,30000000,1073,chimp,16,31000000,inversed
human,16,30000000,666,gorilla,16,33000000,inversed
human,16,30000000,530,gorilla,16,32000000,inversed
human,16,30000000,496,human,10,39000000,inversed
human,16,30000000,479,gorilla,15,0,inversed
human,16,30000000,412,human,15,0,inversed
human,16,30000000,334,chimp,2A,90000000,inversed
human,16,30000000,326,chimp,1,124000000,inversed
gorilla,15,68000000,1972,human,15,64000000,same orientation
chimp,3,78000000,2198,human,3,83000000,inversed
chimp,3,78000000,1882,gorilla,3,85000000,inversed
human,1,74000000,2058,chimp,1,72000000,same orientation
chimp,10,94000000,2218,gorilla,10,130000000,inversed
